majlis_id,term,name,name_dv,constituency,constituency_dv,party,seat_no,photo_url,source_id
70,18,Ibrahim Mohamed Didi,އިބްރާހީމް މުޙައްމަދުދީދީ,hithadhoo Medhu Dhaaira,ހިތަދޫ މެދު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/RscDM0XraWY0s8zMeLciwpSR3FlazAMwHbqjoplX.jpeg,majlis-member-roster
69,18,Mohamed Aslam,މުޙައްމަދު އަސްލަމް,Hithadhoo Uthuru Dhaaira,ހިތަދޫ އުތުރު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/eW2CX3El4cvTGFgy3YYLIaeskatCUXoQl5qKdRgD.jpeg,majlis-member-roster
68,18,Ibrahim Shareef,އިބްރާހީމް ޝަރީފް,Maradhoo Dhaaira,މަރަދޫ ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/eSLwKiPYdKbK2nsJLdg1Wr0WJUElOcCyMZvUd7qt.jpeg,majlis-member-roster
67,18,Ibrahim Didi,އިބްރާހީމްދީދީ,Feydhoo Dhaaira,ފޭދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/scODwRW3126eHSOn6Z8k6NJhVaNQH6h7fXESs8dP.jpeg,majlis-member-roster
66,18,Mohamed Shahid,މުޙައްމަދު ޝާހިދު,Hulhudhoo Dhaaira,ހުޅުދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/mfwaVm2NA8mKrxlK4TVDgB1DvDTDzn0SrrjcyExc.jpeg,majlis-member-roster
65,18,Abdulla Maseeh Mohamed,ޢަބްދުﷲ މަސީޙު މުޙައްމަދު,Fuvahmulaku Dhekunu Dhaaira,ފުވައްމުލަކު ދެކުނު ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/l0wLBNNfoPjKmoTDQsOb4DYGrFXHZF8pZVeoilhf.jpeg,majlis-member-roster
11,18,Anara Naeem,އަނާރާ ނަޢީމް,Makunudhoo Dhaaira,މަކުނުދޫ ދާއިރާ,AP,0,https://majlis.gov.mv/storage/members/FpkmFxnKTLeDtWKTX74imNgvWuIEmgptsAcfKrwI.jpeg,majlis-member-roster
20,18,Mohamed Rasheed Hussain,މުޙައްމަދު ރަޝީދު ޙުސައިން,Alifushi Dhaaira,އަލިފުށި ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/FcR2F8ONXZuI6f0B8SlPfGbH2qm5JoWaxvIEU8cm.jpeg,majlis-member-roster
19,18,Ali Mohamed,ޢަލީ މުޙައްމަދު,Holhudhoo Dhaaira,ހޮޅުދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/XaihOhbHIDLcNqR1Np8oTVNngtbmuMeuvt7KihSS.jpeg,majlis-member-roster
18,18,Abdulla Yameen,ޢަބްދުﷲ ޔާމިން,Velidhoo Dhaaira,ވެލިދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/tP9DHiF3FoohrJcI0EZegTgTwfXcmLtxqG2Erdcv.jpeg,majlis-member-roster
17,18,Umar Hussain,ޢުމަރު ޙުސައިން,Manadhoo Dhaaira,މަނަދޫ ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/sDPKHbiGHiV06LcXHeWUJOFNbA1WAQPYPdkDyl8a.jpeg,majlis-member-roster
16,18,Ali Mauroof,ޢަލީ މަޢުރޫފު,Kendikulhudhoo Dhaaira,ކެނދިކުޅުދޫ ދާއިރާ,MDA,0,https://majlis.gov.mv/storage/members/kYtn4VzYsloR52AbVe7EWLr3QIl347UHkQsVmHZ7.jpeg,majlis-member-roster
15,18,Ali Saleem,ޢަލީ ސަލީމް,Funadhoo Dhaaira,ފުނަދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/FgKBmxFyYmMzzj3dfAtnTdPDyjYxcZgFwWRGiCax.jpeg,majlis-member-roster
14,18,Ahmed Nashid,އަހްމަދު ނާޝިދު,Komandoo Dhaaira,ކޮމަންޑޫ ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/8s2OpahFnd2SsIYRijXGx9yVfP8mc6GIUx9LTcEe.jpeg,majlis-member-roster
13,18,Hussain Mufeedh Abdul Ghadhir,ޙަސަން މުފީދު ޢަބްދުލްޤާދިރު,Milandhoo Dhaaira,މިލަންދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/OMRAAITDwcTAnzkS6FbBeXpWU5eD7UQgUXGVfKkv.jpeg,majlis-member-roster
12,18,Mohamed Hussain,މުޙައްމަދު ޙުސައިން,Kanditheemu Dhaaira,ކަނޑިތީމު ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/s6pAEBmPJerSghGtwvd0ozK06fIC7ZJq9sfWwUSl.jpeg,majlis-member-roster
21,18,Jaufar Dhaawood,ޖަޢުފަރު ދާޢޫދު,Ungoofaaru Dhaaira,އުނގޫފާރު ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/fWb6UhsfNGK0I1qaKPXGBaYZdwhL3lY1CsDVXYr1.jpeg,majlis-member-roster
10,18,Mohamed Nasheed,މުޙައްމަދު ނަޝީދު,Kulhudhuffushi Dhekunu Dhaaira,ކުޅުދުއްފުށި ދެކުނު ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/xVldfwTzATxH4hASKdUSxmmkUwc2ucFU40B0skA5.jpeg,majlis-member-roster
9,18,Abdul Ghafoor Moosa,ޢަބްދުލްޣަފޫރު މޫސާ,Kulhudhuffushi Uthuru Dhaaira,ކުޅުދުއްފުށި އުތުރު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/dgn13L7R9E1WbjmZ3qr9GdFv2SNIL994IJxoTYJi.jpeg,majlis-member-roster
8,18,Mohamed Nazim,މުޙައްމަދު ނާޡިމް,Vaikaradhoo Dhaaira,ވައިކަރަދޫ ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/67PMPlTdtYhvESWKih7AWNzLsJTFVdG8qWMgEzwm.jpeg,majlis-member-roster
7,18,Hussain Areef,ޙުސައިން އަރީފު,Nolhivaram Dhaaira,ނޮޅިވަރަމް ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/mv1KYT7UjXehvWj5xwKS3dbUpAwkCTAtkL3nLLaj.jpeg,majlis-member-roster
6,18,Hussain Shahudhee,ޙުސައިން ޝަހުދީ,Hanimaadhoo Dhaaira,ހަނިމާދޫ ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/FpIwOfoNkZ1V6sQQrQCURH76MRUnbY2Oq0rdZ3Qx.jpeg,majlis-member-roster
5,18,Ali Arif,ޢަލީ ޢާރިފު,Kelaa Dhaaira,ކެލާ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/3nu3JMXlN2Y5T55auzbn5zRy6iBURqF9ptrI3a0H.jpeg,majlis-member-roster
4,18,Abdul Latheef Mohamed,ޢަބްދުއްލަޠީފު މުޙައްމަދު,Dhihdhoo Dhaaira,ދިއްދޫ ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/8BkgjBupHEtY6fJZIq2EnUQ0gwpQpt2xAs7TB5RD.jpeg,majlis-member-roster
